Provincia,Suma_Cant_Hogares,Promedio_PROM
BUENOS AIRES,4275775.0,29.10898876404494
CABA,1327696.0,32.61
CATAMARCA,68050.0,136.81625
CHACO,139580.0,13.333066666666667
CHUBUT,165751.0,10.704761904761904
CORDOBA,1002376.0,11.53219321148825
CORRIENTES,140942.0,91.39692307692307
ENTRE RIOS,263172.0,10.928513513513513
FORMOSA,67293.0,31.18365079365079
JUJUY,117819.0,18.379782608695653
LA PAMPA,116010.0,19.203456790123457
LA RIOJA,86144.0,15.054
MENDOZA,286719.0,11.200680272108844
MISIONES,173766.0,8.228842105263158
NEUQUEN,157550.0,31.784150943396224
RIO NEGRO,157968.0,27.120105263157892
SALTA,199462.0,20.931735537190086
SAN JUAN,103385.0,5.2421518987341775
SAN LUIS,122070.0,21.88298969072165
SANTA CRUZ,49510.0,12.066086956521739
SANTA FE,865358.0,12.728011363636364
SANTIAGO DEL ESTERO,118400.0,72.04015625
TIERRA DEL FUEGO,53861.0,9.607142857142858
TUCUMAN,256142.0,21.566617647058823
